Bump_ID,Name,Center_X,Center_Y,Width,Height,Area,Text_Distance
111,VDD2,1868.6770,2729.1600,80.0000,80.0000,5018.4943,0.0000
112,VDD2,1868.6770,2569.5600,80.0000,80.0000,5018.4943,0.0000
113,VDD2,1868.6770,2409.9600,80.0000,80.0000,5018.4943,0.0000
114,VSS,1974.6770,2649.3600,80.0000,80.0000,5018.4943,0.0000
115,PAD_DQ7,1618.9370,3367.5600,80.0000,80.0000,5018.4943,0.0000
116,PAD_DQ1,1618.9370,3048.3600,80.0000,80.0000,5018.4943,0.0000
117,VDD,1512.9370,3447.3600,80.0000,80.0000,5018.4943,0.0000
118,VDDQ,1512.9370,3287.7600,80.0000,80.0000,5018.4943,0.0000
119,VDD,1512.9370,3128.1600,80.0000,80.0000,5018.4943,0.0000
120,VSS,1512.9370,2968.5600,80.0000,80.0000,5018.4943,0.0000
121,PAD_DQ0,1618.9370,3207.9600,80.0000,80.0000,5018.4943,0.0000
122,PAD_DQ7,1618.9370,2729.1600,80.0000,80.0000,5018.4943,0.0000
123,VDD2,1618.9370,2569.5600,80.0000,80.0000,5018.4943,0.0000
124,VDD2,1618.9370,2409.9600,80.0000,80.0000,5018.4943,0.0000
125,VDD,1512.9370,2808.9600,80.0000,80.0000,5018.4943,0.0000
126,VSS,1512.9370,2489.7600,80.0000,80.0000,5018.4943,0.0000
127,VDDQ,1512.9370,2649.3600,80.0000,80.0000,5018.4943,0.0000
128,PAD_DQ6,1618.9370,2888.7600,80.0000,80.0000,5018.4943,0.0000
129,VSS,1762.6770,3447.3600,80.0000,80.0000,5018.4943,0.0000
130,VDDQ,1762.6770,3287.7600,80.0000,80.0000,5018.4943,0.0000
131,VSS,1762.6770,3128.1600,80.0000,80.0000,5018.4943,0.0000
132,VDDQ,1762.6770,2968.5600,80.0000,80.0000,5018.4943,0.0000
133,VSS,1762.6770,2808.9600,80.0000,80.0000,5018.4943,0.0000
134,VDDQ,1762.6770,2649.3600,80.0000,80.0000,5018.4943,0.0000
135,VSS,1762.6770,2489.7600,80.0000,80.0000,5018.4943,0.0000
136,VDD2,1868.6770,2888.7600,80.0000,80.0000,5018.4943,0.0000
137,PAD_DQ6,1618.9370,3527.1600,80.0000,80.0000,5018.4943,0.0000
138,VDD2,1868.6770,3527.1600,80.0000,80.0000,5018.4943,0.0000
139,VSS,2080.6540,4484.7600,80.0000,80.0000,5018.4943,0.0000
140,PAD_DQ0,2080.6540,4325.1600,80.0000,80.0000,5018.4943,0.0000
141,PAD_DQ1,2080.6540,4165.5600,80.0000,80.0000,5018.4943,0.0000
142,PAD_DQ6,2080.6540,4005.9600,80.0000,80.0000,5018.4943,0.0000
143,PAD_DQ7,2080.6540,3846.3600,80.0000,80.0000,5018.4943,0.0000
144,VDD2,2080.6770,3686.7600,80.0000,80.0000,5018.4943,0.0000
145,VDD2,2080.6770,3527.1600,80.0000,80.0000,5018.4943,0.0000
146,VDD2,2080.6770,3367.5600,80.0000,80.0000,5018.4943,0.0000
147,VDD2,2080.6770,3207.9600,80.0000,80.0000,5018.4943,0.0000
148,VDD2,2080.6770,3048.3600,80.0000,80.0000,5018.4943,0.0000
149,VDD2,2080.6770,2888.7600,80.0000,80.0000,5018.4943,0.0000
150,VDD2,2080.6770,2729.1600,80.0000,80.0000,5018.4943,0.0000
151,VDD2,2080.6770,2569.5600,80.0000,80.0000,5018.4943,0.0000
152,VDD2,2080.6770,2409.9600,80.0000,80.0000,5018.4943,0.0000
153,VDD2,2292.6770,3527.1600,80.0000,80.0000,5018.4943,0.0000
154,VDD2,2504.6770,3527.1600,80.0000,80.0000,5018.4943,0.0000
155,VDD2,2716.6770,3527.1600,80.0000,80.0000,5018.4943,0.0000
156,PAD_DQ4,2504.6540,3846.3600,80.0000,80.0000,5018.4943,0.0000
157,PADP_x4_DQS,2292.6540,3846.3600,80.0000,80.0000,5018.4943,0.0000
158,PAD_DQ7,2080.6540,3846.3600,80.0000,80.0000,5018.4943,0.0000
159,PAD_DQ5,2504.6540,4005.9600,80.0000,80.0000,5018.4943,0.0000
160,PADN_x4_DQS,2292.6540,4005.9600,80.0000,80.0000,5018.4943,0.0000
161,PAD_DQ6,2080.6540,4005.9600,80.0000,80.0000,5018.4943,0.0000
162,PAD_DQ2,2504.6540,4165.5600,80.0000,80.0000,5018.4943,0.0000
163,PADN_DQS,2292.6540,4165.5600,80.0000,80.0000,5018.4943,0.0000
164,PAD_DQ1,2080.6540,4165.5600,80.0000,80.0000,5018.4943,0.0000
165,PAD_DQ3,2504.6540,4325.1600,80.0000,80.0000,5018.4943,0.0000
166,PADP_DQS,2292.6540,4325.1600,80.0000,80.0000,5018.4943,0.0000
167,PAD_DQ0,2080.6540,4325.1600,80.0000,80.0000,5018.4943,0.0000
168,VSS,2398.6540,3766.5600,80.0000,80.0000,5018.4943,0.0000
169,VDDQ,2186.6540,3766.5600,80.0000,80.0000,5018.4943,0.0000
170,VDD,2398.6540,3926.1600,80.0000,80.0000,5018.4943,0.0000
171,VDD,2186.6540,3926.1600,80.0000,80.0000,5018.4943,0.0000
172,VSS,2398.6540,4085.7600,80.0000,80.0000,5018.4943,0.0000
173,VSS,2186.6540,4085.7600,80.0000,80.0000,5018.4943,0.0000
